Crop_Type,Rainfall_mm,Temperature_C,Humidity_pct,Nitrogen,Phosphorus,Potassium,pH,Area_ha,Season,Irrigation_Type,Yield_ton_per_ha
Wheat,342.4,12.5,61.5,19.4,11.8,6.3,8.33,14.88,Rabi,Sprinkler,1.53
Cotton,830.7,32.7,44.6,32.6,14.3,74.3,7.56,5.67,Rabi,Sprinkler,1.73
Rice,1961.4,22.8,68.9,110.0,64.3,45.1,5.32,2.87,Rabi,Flood,4.36
Cotton,521.0,30.3,64.2,113.8,32.8,107.9,6.91,11.86,Zaid,Flood,3.4
Soybean,745.4,28.1,53.2,54.0,93.2,28.6,5.99,8.93,Rabi,Rainfed,2.72
Wheat,638.0,24.1,54.9,11.7,99.3,75.5,5.77,17.65,Kharif,Sprinkler,4.0
Wheat,677.5,15.3,53.8,119.5,74.2,86.5,7.12,3.96,Rabi,Drip,6.2
Rice,1056.2,30.2,75.2,119.3,74.6,61.9,6.86,10.41,Zaid,Drip,6.35
Wheat,644.4,19.3,66.2,92.7,77.3,21.8,6.35,0.68,Kharif,Flood,4.91
Sugarcane,1306.1,32.0,73.9,105.3,63.5,24.7,5.92,15.78,Rabi,Drip,71.42
Wheat,317.7,21.9,62.4,36.3,96.0,43.6,5.81,3.4,Zaid,Drip,3.86
Cotton,943.1,32.2,54.8,60.9,44.2,78.0,4.51,12.58,Kharif,Rainfed,1.41
Cotton,794.1,25.9,52.0,93.5,11.2,65.9,6.75,11.43,Rabi,Flood,2.72
Cotton,912.5,27.7,52.5,20.0,10.6,40.1,7.64,14.3,Zaid,Flood,1.45
Cotton,720.1,30.2,43.7,52.7,46.2,14.3,5.38,12.17,Zaid,Sprinkler,1.84
Sugarcane,2178.5,29.5,63.0,63.3,84.8,45.3,6.79,,Kharif,Flood,90.83
Maize,734.2,22.3,50.8,13.1,84.0,33.7,6.57,6.33,Kharif,Sprinkler,5.71
Soybean,828.9,28.7,54.7,,48.5,55.7,5.03,2.07,Zaid,Sprinkler,2.58
Rice,1324.2,27.0,81.9,109.5,20.1,69.1,5.04,15.15,Kharif,Flood,4.97
Cotton,987.4,32.9,49.3,65.8,85.3,33.2,5.13,17.14,Zaid,Flood,1.85
Wheat,581.0,20.1,50.4,51.0,78.3,14.1,5.45,14.78,Zaid,Flood,4.05
Cotton,812.2,32.9,52.4,137.3,18.8,81.1,5.26,7.1,Zaid,Rainfed,2.37
Wheat,783.7,24.3,45.5,12.9,73.4,48.9,4.86,13.83,Kharif,Rainfed,2.61
Soybean,697.0,27.9,65.3,39.4,85.5,50.0,5.06,13.45,Kharif,Drip,2.38
Soybean,837.9,21.0,61.5,107.4,32.6,87.6,4.95,7.44,Zaid,Flood,2.81
Soybean,842.5,23.4,63.6,108.6,76.6,6.9,5.01,13.36,Rabi,Sprinkler,3.15
Wheat,580.1,24.3,62.5,82.5,57.5,14.9,5.87,6.01,Rabi,Flood,3.64
Cotton,698.7,29.5,42.3,67.3,23.6,,4.88,7.46,Kharif,Flood,1.89
Soybean,590.6,22.8,66.1,35.5,90.2,59.6,6.29,11.38,Rabi,Sprinkler,3.11
Sugarcane,1253.3,33.5,72.7,,8.2,43.2,7.43,16.5,Kharif,Flood,57.03
Wheat,783.9,22.4,65.7,25.3,75.3,38.6,8.45,9.96,Kharif,Rainfed,2.23
Wheat,789.9,25.0,59.7,26.9,70.3,14.8,4.62,,Rabi,Drip,2.64
Cotton,986.7,28.8,48.4,48.5,92.2,,7.54,19.77,Rabi,Sprinkler,1.89
Wheat,709.6,15.3,66.4,,28.2,16.9,4.85,14.52,Zaid,Flood,3.0
Wheat,669.8,23.8,45.7,89.8,46.4,65.6,7.45,16.22,Rabi,Sprinkler,
Soybean,451.7,23.1,67.0,31.7,67.3,109.1,4.79,2.0,Zaid,Flood,2.67
Cotton,607.8,,49.0,18.9,77.5,47.9,7.54,18.12,Kharif,Sprinkler,2.06
Soybean,450.1,28.7,54.2,60.7,41.1,28.8,6.03,3.01,Zaid,Drip,2.73
Soybean,665.6,28.0,50.5,64.8,7.6,106.5,5.01,14.3,Rabi,Sprinkler,2.97
Cotton,990.9,33.4,55.5,82.7,64.7,60.9,7.04,9.27,Rabi,Rainfed,2.44
Rice,915.8,27.4,67.3,11.6,49.5,36.6,6.89,6.3,Zaid,Drip,4.03
Soybean,533.4,28.9,52.0,41.1,80.5,8.6,6.83,19.91,Rabi,Rainfed,2.66
Sugarcane,1095.5,27.8,80.8,87.9,15.9,14.9,8.14,13.55,Kharif,Drip,46.16
Sugarcane,1645.6,27.8,67.9,66.5,78.5,68.2,,9.15,Kharif,Sprinkler,95.34
Wheat,694.4,17.8,59.2,97.9,17.5,29.6,7.65,19.43,Rabi,Flood,3.93
Sugarcane,1951.2,27.6,61.8,43.1,39.4,54.6,4.68,3.23,Rabi,Rainfed,56.69
Wheat,536.5,,58.7,71.1,47.5,54.8,6.86,10.97,Kharif,Drip,4.94
Rice,1326.2,26.6,66.6,61.6,9.2,34.2,7.77,6.05,Kharif,Flood,4.16
Cotton,939.9,30.3,54.4,13.9,69.2,9.7,6.3,18.62,Kharif,Rainfed,1.91
Cotton,835.5,33.8,46.5,97.7,33.2,80.4,8.32,14.57,Kharif,Sprinkler,2.11
Cotton,858.8,25.0,60.7,15.3,,32.0,7.16,16.11,Rabi,Rainfed,1.77
Sugarcane,1106.5,31.3,62.0,56.1,94.5,75.2,7.21,7.56,Zaid,Rainfed,57.42
Rice,1563.3,22.1,87.4,89.6,88.0,,4.98,18.1,Rabi,Sprinkler,5.2
Sugarcane,1633.1,20.2,67.4,73.2,59.8,9.6,4.99,11.39,Zaid,Rainfed,53.04
Sugarcane,1978.4,30.9,81.1,100.0,45.8,75.7,5.6,6.47,Rabi,Drip,102.4
Rice,1829.1,30.2,87.5,66.0,35.3,66.1,5.98,12.22,Kharif,Flood,4.3
Rice,1000.2,25.7,72.9,28.5,89.6,41.3,5.12,1.0,Rabi,Flood,4.02
Rice,1816.6,23.0,75.9,119.4,60.1,63.8,4.92,3.76,Rabi,Rainfed,4.63
Rice,1972.9,24.3,76.0,27.7,14.4,26.9,8.2,8.58,Zaid,Drip,2.15
Cotton,565.0,29.9,60.9,58.2,40.6,54.8,6.28,,Kharif,Rainfed,2.12
Maize,924.8,19.1,54.5,14.0,97.2,86.2,8.42,9.82,Kharif,Drip,5.07
Maize,749.3,28.1,74.8,102.2,21.8,58.3,7.21,5.08,Zaid,Sprinkler,5.85
Rice,998.3,27.4,77.5,140.0,19.3,90.8,,15.76,Zaid,Flood,4.98
Maize,823.0,27.5,71.9,29.2,86.0,79.6,8.13,3.08,Zaid,Rainfed,4.54
Maize,747.4,25.2,63.8,14.9,75.9,62.7,4.73,13.77,Kharif,Drip,5.03
Rice,1705.5,22.9,74.8,49.3,51.7,59.9,6.75,9.1,Zaid,Sprinkler,5.23
Maize,753.6,29.0,71.8,126.3,48.3,51.6,6.91,12.03,Zaid,Rainfed,6.48
Sugarcane,1004.8,20.9,76.0,48.8,27.8,37.7,5.52,1.1,Zaid,Drip,41.15
Wheat,667.0,14.9,62.9,130.8,7.9,96.6,6.61,12.83,Kharif,Flood,5.11
Wheat,564.3,21.5,63.8,138.8,24.1,109.4,4.86,0.55,Zaid,Rainfed,4.8
Rice,1559.5,25.4,62.1,10.7,94.0,91.3,7.74,17.75,Zaid,Drip,5.48
Cotton,640.2,32.2,57.2,13.2,34.1,62.7,7.03,11.75,Rabi,Rainfed,1.64
Rice,1427.1,31.6,69.0,20.0,52.6,88.4,7.33,1.48,Rabi,Drip,4.67
Cotton,640.5,27.3,60.1,130.8,43.5,100.1,5.79,9.79,Kharif,Rainfed,2.72
Wheat,789.5,20.3,58.1,56.5,66.5,,8.05,10.31,Rabi,Drip,3.67
Rice,1619.1,22.7,67.3,102.8,83.1,89.4,6.71,10.64,Kharif,Sprinkler,8.1
Soybean,572.1,27.8,62.4,47.0,17.7,71.1,4.72,15.1,Zaid,Rainfed,1.93
Sugarcane,1414.3,20.7,77.7,18.1,84.7,5.4,5.49,14.95,Kharif,Flood,48.69
Maize,752.2,19.2,58.1,119.6,34.8,87.8,8.07,8.96,Kharif,Drip,6.63
Cotton,843.5,25.9,52.3,60.4,65.1,78.9,4.52,3.76,Kharif,Sprinkler,2.08
Soybean,884.7,26.7,69.0,133.6,71.7,36.3,,15.75,Kharif,Drip,3.22
Maize,1106.1,22.6,64.3,24.4,65.3,85.9,4.51,17.25,Kharif,Drip,4.38
Maize,791.1,24.6,71.6,58.3,87.6,81.7,7.09,16.03,Zaid,Rainfed,6.93
Rice,950.9,31.3,82.1,136.7,10.0,76.6,6.37,11.79,Kharif,Flood,5.18
Maize,966.8,18.5,74.7,111.7,56.7,15.5,7.25,5.22,Rabi,Flood,5.88
Sugarcane,1047.1,34.2,78.4,52.9,91.1,33.0,7.4,17.61,Rabi,Flood,53.75
Soybean,793.0,24.0,,44.7,25.9,18.8,7.93,11.72,Rabi,Sprinkler,1.75
Maize,804.9,20.2,60.0,54.4,75.2,28.4,7.07,11.63,Zaid,Rainfed,4.71
Rice,1969.0,28.5,85.4,13.1,90.4,87.2,7.62,9.43,Rabi,Sprinkler,4.11
Sugarcane,1369.9,23.4,72.1,107.2,50.0,11.1,8.33,18.88,Kharif,Flood,53.66
Wheat,572.2,24.9,68.9,19.8,39.7,28.7,5.28,3.25,Rabi,Rainfed,2.44
Soybean,815.0,21.5,65.9,60.5,69.0,32.3,5.88,18.39,Rabi,Flood,3.07
Maize,542.4,24.5,70.7,99.7,93.4,57.2,5.42,1.37,Kharif,Drip,7.61
Rice,1938.9,25.5,88.9,90.7,93.2,84.9,6.69,4.02,Zaid,Drip,6.1
Wheat,732.0,19.3,54.4,126.7,69.1,19.4,8.48,10.78,Zaid,Flood,3.46
Wheat,549.1,20.3,52.2,133.9,54.6,28.0,6.34,18.43,Zaid,Sprinkler,5.96
Cotton,506.5,27.1,40.4,117.8,74.6,42.3,7.29,8.21,Rabi,Drip,2.65
Sugarcane,2077.5,27.2,66.2,93.3,68.3,22.1,6.76,15.55,Rabi,Flood,88.13
Maize,506.3,18.1,60.7,130.4,26.7,71.6,5.39,6.77,Rabi,Sprinkler,5.37
Rice,835.0,26.3,74.4,96.1,16.3,,6.09,18.43,Zaid,Rainfed,3.76
Cotton,880.5,25.4,49.3,61.0,76.7,101.4,8.3,11.75,Rabi,Rainfed,1.94
Sugarcane,,28.5,76.4,41.3,23.2,101.4,4.91,10.37,Zaid,Rainfed,65.31
Cotton,518.0,25.4,44.4,122.7,31.8,104.8,6.83,9.01,Zaid,Rainfed,3.01
Soybean,608.9,22.8,72.4,133.0,89.8,49.0,7.62,9.79,Zaid,Drip,4.1
Sugarcane,1886.7,23.1,64.7,53.1,86.2,26.7,4.78,1.85,Zaid,Sprinkler,52.49
Sugarcane,2253.7,32.2,68.3,100.2,78.3,73.7,5.11,17.58,Zaid,Rainfed,65.32
Maize,797.7,21.4,51.1,26.6,77.7,5.0,6.17,10.69,Kharif,Rainfed,4.22
Sugarcane,1002.2,23.5,78.2,135.7,26.3,74.6,7.47,17.04,Zaid,Drip,
Cotton,662.6,28.0,57.8,116.2,22.3,43.9,8.11,16.23,Zaid,Flood,2.01
Sugarcane,1991.5,28.9,62.0,80.8,72.4,22.6,7.62,11.88,Zaid,Flood,82.0
Maize,685.7,18.5,68.0,,72.9,84.7,4.91,10.52,Kharif,Sprinkler,5.58
Maize,988.0,27.9,71.4,70.0,92.5,77.9,7.42,17.3,Kharif,Drip,7.1
Soybean,537.9,28.1,58.6,53.6,98.0,94.9,7.3,14.68,Zaid,Rainfed,3.24
Cotton,581.5,28.8,59.7,105.5,41.5,7.6,7.86,0.72,Rabi,Rainfed,1.9
Wheat,518.8,24.6,47.0,101.6,82.6,62.4,8.37,1.51,Kharif,Rainfed,3.88
Wheat,700.0,14.3,56.6,61.6,17.5,95.9,5.13,6.54,Zaid,Drip,3.88
Sugarcane,2009.1,33.1,79.9,42.6,64.4,65.0,7.83,18.17,Rabi,Flood,61.39
Soybean,579.4,25.5,57.7,55.9,64.0,40.1,7.43,8.39,Rabi,Flood,2.87
Rice,1142.9,29.8,73.0,99.1,36.6,10.9,6.0,18.92,Kharif,Flood,4.97
Sugarcane,1627.5,23.0,78.8,23.2,31.4,34.0,6.23,19.62,Rabi,Drip,72.07
Soybean,530.7,25.2,74.3,24.7,43.3,82.5,7.32,8.74,Zaid,Rainfed,2.22
Cotton,741.5,27.1,,47.4,67.4,106.7,6.91,2.0,Kharif,Sprinkler,2.99
Cotton,648.6,34.5,42.3,87.9,64.2,73.1,5.57,0.79,Zaid,Drip,2.95
Cotton,805.0,32.1,47.8,45.2,61.8,95.9,8.29,2.57,Rabi,Rainfed,1.84
Cotton,868.3,34.4,62.1,36.3,60.8,78.6,7.22,8.46,Kharif,Rainfed,1.83
Cotton,978.8,29.5,50.0,119.2,22.9,75.6,8.41,2.49,Rabi,Sprinkler,2.31
Soybean,491.7,24.3,68.7,128.9,46.2,32.2,6.24,14.61,Rabi,Sprinkler,
Soybean,558.9,26.4,67.9,21.9,23.9,97.1,7.45,0.77,Zaid,Rainfed,2.64
Maize,689.6,20.6,57.4,18.1,48.6,81.9,6.93,13.62,Rabi,Drip,6.05
Wheat,572.1,24.1,46.0,90.2,75.6,82.5,6.59,1.83,Rabi,Rainfed,5.33
Cotton,792.2,34.2,53.5,45.0,40.0,99.0,7.17,15.85,Kharif,Drip,2.37
Rice,1313.1,29.1,73.3,94.4,93.9,11.7,7.8,6.2,Zaid,Drip,6.06
Soybean,585.5,20.2,62.6,17.3,51.7,102.3,4.92,,Rabi,Drip,2.33
Rice,992.6,23.6,62.1,34.1,68.1,97.6,7.76,13.86,Zaid,Flood,4.62
Rice,1171.8,24.9,67.5,77.0,55.9,42.5,5.92,16.66,Kharif,Rainfed,4.94
Rice,1192.1,31.5,70.6,75.7,94.4,97.0,4.91,8.16,Zaid,Rainfed,4.87
Maize,635.7,24.0,75.8,,84.6,95.2,7.49,9.06,Rabi,Rainfed,7.21
Soybean,762.3,21.8,55.7,25.3,20.7,5.2,7.37,14.78,Rabi,Drip,1.66
Rice,900.3,23.6,60.6,31.5,89.6,30.4,5.92,2.55,Rabi,Rainfed,3.4
Cotton,621.9,26.7,46.7,53.6,76.2,65.1,8.44,8.59,Kharif,Drip,1.93
Sugarcane,2018.5,33.1,70.3,108.0,24.3,39.4,6.69,11.72,Kharif,Flood,77.16
Rice,1919.8,27.0,73.2,137.5,53.7,17.0,7.56,13.74,Rabi,Rainfed,4.33
Maize,1043.5,29.4,68.3,121.5,69.0,47.9,8.04,4.83,Rabi,Flood,5.7
Soybean,788.7,27.0,61.6,123.6,24.3,18.4,5.64,10.87,Kharif,Sprinkler,3.1
Maize,783.2,27.8,64.5,11.7,43.9,73.0,4.56,5.98,Rabi,Flood,3.93
Rice,1691.7,23.8,85.4,80.9,98.3,52.3,6.55,19.79,Kharif,Sprinkler,6.28
Soybean,650.9,20.4,51.8,104.8,62.8,79.2,6.0,7.7,Zaid,Drip,4.3
Sugarcane,2247.1,25.7,81.1,58.5,65.0,15.0,4.91,1.45,Kharif,Drip,53.08
Rice,1425.3,27.5,70.5,98.1,77.1,6.5,5.33,14.41,Zaid,Sprinkler,5.18
Maize,611.1,22.7,57.7,88.7,46.2,86.3,7.91,,Rabi,Drip,6.88
Wheat,507.5,16.0,61.4,60.2,60.9,24.5,6.9,17.3,Rabi,Flood,4.37
Cotton,792.3,30.6,43.3,67.7,47.8,105.6,6.22,11.21,Kharif,Sprinkler,3.55
Maize,1023.8,25.6,56.8,78.7,83.5,53.6,5.61,13.27,Zaid,Drip,6.86
Soybean,804.0,29.8,69.3,107.2,19.3,27.8,6.36,5.65,Kharif,Rainfed,2.88
Rice,1789.2,30.9,78.9,121.6,79.5,50.0,5.3,10.53,Zaid,Rainfed,5.39
Cotton,874.0,25.9,60.3,101.9,96.9,91.8,8.11,18.7,Zaid,Flood,2.53
Rice,806.9,28.7,74.0,84.3,,38.4,8.34,17.89,Kharif,Sprinkler,3.16
Soybean,590.5,20.8,50.4,12.2,92.1,79.1,5.74,3.09,Zaid,Drip,3.17
Rice,1549.5,27.6,85.9,86.3,60.2,109.0,7.53,9.12,Rabi,Rainfed,5.36
Wheat,764.1,19.8,67.9,54.4,55.1,27.2,8.48,19.63,Rabi,Rainfed,2.42
Cotton,970.0,29.6,52.6,133.4,84.1,43.1,7.95,2.65,Zaid,Rainfed,2.32
Cotton,987.1,31.4,41.7,82.1,76.0,90.1,6.16,4.48,Rabi,Drip,3.27
Soybean,653.8,25.8,73.7,17.9,70.1,7.6,5.19,9.34,Rabi,Flood,2.11
Wheat,500.9,18.4,44.6,84.4,31.3,101.7,6.83,12.06,Zaid,Drip,6.16
Maize,546.6,26.4,56.9,129.0,63.5,30.9,7.26,12.14,Kharif,Sprinkler,6.36
Rice,1143.8,29.4,84.1,139.6,7.9,99.2,6.99,19.48,Zaid,Sprinkler,6.78
Sugarcane,1191.9,31.6,68.7,66.6,42.6,75.3,8.07,6.47,Rabi,Sprinkler,54.81
Rice,1369.9,23.7,61.7,132.5,12.1,51.0,6.62,19.71,Kharif,Flood,7.12
Rice,810.4,23.1,64.7,36.9,64.9,28.1,4.58,16.62,Kharif,Flood,2.51
Maize,1066.3,20.5,54.4,54.5,87.1,21.3,4.83,9.95,Zaid,Sprinkler,4.69
Rice,1764.6,27.6,64.1,85.5,53.0,20.1,7.0,5.84,Rabi,Sprinkler,4.89
Wheat,711.2,16.0,41.7,64.4,48.6,81.1,6.8,13.51,Kharif,Sprinkler,4.49
Wheat,322.5,14.6,43.8,83.1,77.7,103.7,4.56,10.69,Kharif,Flood,4.13
Cotton,829.0,31.9,42.9,114.0,16.7,78.3,6.16,10.52,Kharif,Rainfed,3.07
Soybean,529.0,29.5,64.2,85.3,51.5,72.7,5.42,11.28,Kharif,Rainfed,2.49
Sugarcane,1277.9,28.6,67.0,38.4,22.4,91.7,5.64,18.58,Zaid,Flood,64.14
Rice,1742.8,25.7,67.6,132.1,89.9,40.4,7.42,11.68,Kharif,Drip,6.54
Rice,1506.7,27.2,82.6,91.1,62.0,10.6,6.01,5.03,Kharif,Rainfed,4.44
Maize,565.6,22.2,64.6,129.7,8.8,35.6,5.33,5.14,Zaid,Rainfed,3.79
Soybean,519.5,27.6,62.2,65.9,61.7,110.0,7.58,8.26,Rabi,Drip,2.94
Wheat,315.2,14.2,46.1,54.3,53.5,69.6,,10.44,Zaid,Rainfed,2.43
Sugarcane,1241.0,32.6,60.6,68.4,27.6,10.2,7.4,2.68,Kharif,Flood,52.19
Cotton,,27.8,49.5,114.2,42.2,83.8,5.0,15.57,Rabi,Rainfed,2.29
Wheat,482.9,24.1,49.5,107.4,46.0,14.2,5.63,8.66,Kharif,Rainfed,3.52
Soybean,750.5,29.6,73.3,,63.1,76.2,5.77,17.04,Zaid,Rainfed,2.79
Cotton,640.8,27.8,64.1,11.3,73.0,79.2,6.99,19.81,Rabi,Flood,2.47
Maize,555.3,22.1,63.3,43.9,,92.6,8.24,4.12,Rabi,Flood,4.28
Maize,997.1,20.9,58.2,54.4,47.6,100.9,5.26,0.6,Rabi,Drip,5.95
Rice,1577.0,31.0,68.2,33.0,33.0,17.1,8.27,15.79,Zaid,Flood,2.72
Soybean,835.3,27.2,58.9,108.5,33.0,36.4,4.93,9.08,Rabi,Drip,2.83
Sugarcane,1905.7,,81.6,116.9,21.5,56.0,4.97,13.8,Rabi,Drip,75.69
Cotton,791.8,31.3,49.8,56.2,9.3,27.9,4.56,11.84,Kharif,Flood,1.37
Wheat,561.6,23.3,61.0,63.4,58.3,104.0,4.83,5.45,Kharif,Drip,4.0
Soybean,891.3,21.2,55.4,18.7,61.5,82.6,4.63,13.34,Zaid,Drip,2.7
Soybean,786.7,27.9,64.0,42.0,45.2,88.3,4.63,15.75,Zaid,Drip,2.47
Maize,929.8,20.7,57.6,85.1,39.1,91.5,7.78,9.81,Kharif,Flood,7.0
Rice,1766.9,25.6,69.8,37.2,13.0,54.0,6.43,16.9,Rabi,Drip,4.69
Rice,1261.5,30.2,73.8,49.4,93.6,17.5,8.23,13.84,Kharif,Drip,4.23
Cotton,737.8,25.3,50.2,31.0,67.4,107.0,6.75,14.44,Kharif,Sprinkler,2.73
Maize,1156.9,25.4,69.9,20.0,38.7,62.8,6.11,,Kharif,Rainfed,4.24
Soybean,564.9,23.7,52.6,56.1,44.3,76.0,7.13,1.87,Zaid,Drip,3.23
Sugarcane,1062.9,32.4,70.5,31.9,88.5,63.5,5.43,10.3,Zaid,Sprinkler,53.91
Maize,654.3,29.5,76.6,131.5,92.1,71.7,7.02,8.36,Rabi,Drip,9.62
Cotton,865.7,29.3,60.6,29.0,84.1,61.7,7.88,8.91,Kharif,Sprinkler,2.34
Cotton,716.9,30.0,46.2,81.2,31.1,99.7,5.36,17.74,Zaid,Sprinkler,2.96
Maize,727.0,26.4,57.0,,86.4,91.1,6.26,3.08,Rabi,Flood,7.7
Cotton,727.2,31.2,59.5,139.7,23.2,53.3,6.22,6.44,Kharif,Sprinkler,3.24
Maize,1043.4,29.0,53.9,83.5,47.0,88.7,7.4,13.96,Rabi,Sprinkler,4.91
Wheat,326.2,22.5,44.8,53.6,12.3,29.7,7.82,18.99,Zaid,Sprinkler,2.41
Maize,525.2,21.3,77.8,37.8,44.9,6.0,7.93,14.76,Rabi,Rainfed,2.76
Maize,714.5,27.4,51.2,86.5,42.8,107.2,6.68,5.87,Zaid,Sprinkler,8.21
Cotton,774.9,28.7,41.3,65.4,84.1,89.6,5.4,4.91,Kharif,Flood,2.82
Cotton,547.7,34.3,51.3,53.9,87.7,13.8,5.34,15.17,Kharif,Flood,1.44
Rice,1273.5,25.3,75.9,31.0,59.3,89.6,7.54,3.5,Kharif,Drip,5.4
Rice,1289.3,25.5,63.8,32.3,83.6,66.4,5.85,16.16,Zaid,Drip,5.46
Wheat,355.6,13.6,59.4,123.8,80.1,19.8,6.68,2.56,Kharif,Flood,4.35
Rice,1442.2,28.6,62.5,14.5,99.0,8.2,6.28,10.34,Zaid,Drip,5.65
Maize,1106.3,24.9,58.7,70.8,63.8,48.2,6.21,6.94,Kharif,Flood,6.75
Cotton,600.8,33.5,63.4,99.6,83.2,63.4,7.62,0.82,Rabi,Flood,2.76
Rice,1838.7,24.5,63.1,26.4,98.0,75.8,7.89,6.82,Rabi,Sprinkler,4.19
Rice,1523.8,27.9,80.5,84.8,45.8,34.0,7.57,4.91,Rabi,Flood,5.4
Wheat,425.5,20.5,59.5,37.6,16.6,78.6,4.95,19.94,Rabi,Rainfed,2.53
Soybean,599.4,29.3,61.6,11.8,12.8,32.2,4.61,12.81,Kharif,Sprinkler,1.31
Wheat,631.9,15.8,69.0,16.6,89.6,65.6,6.76,10.26,Rabi,Drip,4.89
Maize,920.6,19.1,60.2,129.2,43.6,20.0,7.36,6.22,Rabi,Sprinkler,6.52
